name,wikidata_qid,founded_year,status,age_group
Institut Supérieur d'Études Maritimes,Q21619090,1978,done,1960_1989
Institut Supérieur de Biotechnologie de Sfax,Q12193470,2002,done,1990_2009
Institut Supérieur de Commerce de Kinshasa,Q3152555,NA,done,NA
Institut Supérieur de Commerce et d'Administration des Entreprises,Q3152559,1971,done,1960_1989
Institut Supérieur de Développement Rural,Q97182768,1962,done,1960_1989
Institut Supérieur de Formation en Technologie Alimentaire,Q30294389,NA,done,NA
Institut Supérieur de Gestion,Q1659456,1967,done,1960_1989
Institut Supérieur de Gestion de Tunis,Q22931737,1969,done,1960_1989
Institut Supérieur de Gestion des Entreprises,Q30294312,1987,done,1960_1989
Institut Supérieur de Statistique de Lubumbashi,Q30294214,NA,done,NA
Institut Supérieur de Statistiques de Kinshasa,Q3152585,1974,done,1960_1989
Institut Supérieur de Technique Médicale,Q30294168,NA,done,NA
Institut Supérieur de Techniques Appliquées,Q136663718,1973,done,1960_1989
Institut Supérieur de Technologie Médicale,Q108737409,2005,done,1990_2009
Institut Supérieur de Technologie d'Antananarivo,Q63862261,NA,done,NA
Institut Supérieur de comptabilité Audit et Finance,Q30294388,NA,done,NA
Institut Supérieur de l'Information et de la Communication,Q30294162,NA,done,NA
Institut Supérieur de l'Informatique et de Gestion,Q100955861,2013,done,post_2010
"Institut Supérieur de la Communication, des Affaires et du Management",Q3152572,1990,done,1990_2009
Institut Supérieur des Etudes Technologiques de Tozeur,Q100260550,NA,done,NA
Institut Supérieur des Etudes Technologiques de Zaghouan,Q139771427,2002,done,1990_2009
Institut Supérieur des Métiers du Patrimoine de Tunis,Q135738898,2000,done,1990_2009
Institut Supérieur des Professions Infirmières et Techniques de Santé de Casablanca,Q138655029,2013,done,post_2010
Institut Supérieur des Sciences de l'Éducation de Guinée,Q30294178,NA,done,NA
Institut Supérieur des Sciences et de Médecine Vétérinaire,Q109574991,2004,done,1990_2009
