inst_id,year,n_publications
I4210113241,2022,7
I4210113241,2023,16
I4210113241,2024,14
I4210113241,2025,11
I4210113241,2026,10
I4405259820,2006,0
I4405259820,2007,0
I4405259820,2008,0
I4405259820,2009,0
I4405259820,2010,0
I4405259820,2011,0
I4405259820,2012,0
I4405259820,2013,0
I4405259820,2014,0
I4405259820,2015,0
I4405259820,2016,0
I4405259820,2017,0
I4405259820,2018,0
I4405259820,2019,0
I4405259820,2020,0
I4405259820,2021,0
I4405259820,2022,0
I4405259820,2023,0
I4405259820,2024,0
I4405259820,2025,0
I4405259820,2026,0
I3132520537,2006,0
I3132520537,2007,0
I3132520537,2008,0
I3132520537,2009,0
I3132520537,2010,0
I3132520537,2011,1
I3132520537,2012,0
I3132520537,2013,1
I3132520537,2014,0
I3132520537,2015,1
I3132520537,2016,2
I3132520537,2017,0
I3132520537,2018,0
I3132520537,2019,0
I3132520537,2020,3
I3132520537,2021,0
I3132520537,2022,0
I3132520537,2023,1
I3132520537,2024,4
I3132520537,2025,7
I3132520537,2026,0
I2803027104,2006,1
I2803027104,2007,2
I2803027104,2008,2
I2803027104,2009,2
I2803027104,2010,2
I2803027104,2011,2
I2803027104,2012,1
I2803027104,2013,5
I2803027104,2014,3
I2803027104,2015,10
I2803027104,2016,5
I2803027104,2017,5
I2803027104,2018,5
I2803027104,2019,6
I2803027104,2020,7
I2803027104,2021,12
I2803027104,2022,6
I2803027104,2023,20
I2803027104,2024,27
I2803027104,2025,46
I2803027104,2026,27
I2801972722,2006,0
I2801972722,2007,2
I2801972722,2008,0
I2801972722,2009,0
I2801972722,2010,1
I2801972722,2011,1
I2801972722,2012,1
I2801972722,2013,0
I2801972722,2014,0
I2801972722,2015,1
I2801972722,2016,0
I2801972722,2017,2
I2801972722,2018,1
I2801972722,2019,1
I2801972722,2020,0
I2801972722,2021,0
I2801972722,2022,0
I2801972722,2023,6
I2801972722,2024,3
I2801972722,2025,5
I2801972722,2026,5
I4405258014,2006,0
I4405258014,2007,0
I4405258014,2008,0
I4405258014,2009,0
I4405258014,2010,0
I4405258014,2011,0
I4405258014,2012,0
I4405258014,2013,0
I4405258014,2014,0
I4405258014,2015,0
I4405258014,2016,0
I4405258014,2017,0
I4405258014,2018,0
I4405258014,2019,0
I4405258014,2020,0
I4405258014,2021,0
I4405258014,2022,0
I4405258014,2023,0
I4405258014,2024,0
I4405258014,2025,0
I4405258014,2026,0
I4403928187,2006,0
I4403928187,2007,0
I4403928187,2008,0
I4403928187,2009,0
I4403928187,2010,0
I4403928187,2011,0
I4403928187,2012,0
I4403928187,2013,0
I4403928187,2014,0
I4403928187,2015,0
I4403928187,2016,0
I4403928187,2017,0
I4403928187,2018,0
I4403928187,2019,0
I4403928187,2020,0
I4403928187,2021,0
I4403928187,2022,1
I4403928187,2023,0
I4403928187,2024,3
I4403928187,2025,2
I4403928187,2026,1
I118185606,2006,231
I118185606,2007,213
I118185606,2008,246
I118185606,2009,289
I118185606,2010,314
I118185606,2011,394
I118185606,2012,368
I118185606,2013,390
I118185606,2014,451
I118185606,2015,462
I118185606,2016,557
I118185606,2017,484
I118185606,2018,551
I118185606,2019,592
I118185606,2020,999
I118185606,2021,1063
I118185606,2022,1036
I118185606,2023,1088
I118185606,2024,1311
I118185606,2025,1359
I118185606,2026,575
I4210108070,2006,0
I4210108070,2007,4
I4210108070,2008,26
I4210108070,2009,20
I4210108070,2010,33
I4210108070,2011,51
I4210108070,2012,37
I4210108070,2013,51
I4210108070,2014,56
I4210108070,2015,49
I4210108070,2016,87
I4210108070,2017,99
I4210108070,2018,113
I4210108070,2019,136
I4210108070,2020,215
I4210108070,2021,210
I4210108070,2022,278
I4210108070,2023,300
I4210108070,2024,372
I4210108070,2025,467
I4210108070,2026,205
I4405260173,2006,0
I4405260173,2007,0
I4405260173,2008,0
I4405260173,2009,0
I4405260173,2010,0
I4405260173,2011,0
I4405260173,2012,0
I4405260173,2013,0
I4405260173,2014,0
I4405260173,2015,0
I4405260173,2016,0
I4405260173,2017,0
I4405260173,2018,0
I4405260173,2019,0
I4405260173,2020,0
I4405260173,2021,0
I4405260173,2022,0
I4405260173,2023,0
I4405260173,2024,0
I4405260173,2025,0
I4405260173,2026,0
I4210098501,2006,0
I4210098501,2007,0
I4210098501,2008,0
I4210098501,2009,0
I4210098501,2010,0
I4210098501,2011,0
I4210098501,2012,0
I4210098501,2013,0
I4210098501,2014,0
I4210098501,2015,0
I4210098501,2016,0
I4210098501,2017,0
I4210098501,2018,1
I4210098501,2019,0
I4210098501,2020,0
I4210098501,2021,0
I4210098501,2022,0
I4210098501,2023,1
I4210098501,2024,0
I4210098501,2025,0
I4210098501,2026,0
I3131883934,2006,21
I3131883934,2007,24
I3131883934,2008,30
I3131883934,2009,41
I3131883934,2010,43
I3131883934,2011,46
I3131883934,2012,68
I3131883934,2013,84
I3131883934,2014,208
I3131883934,2015,156
I3131883934,2016,164
I3131883934,2017,188
I3131883934,2018,175
I3131883934,2019,234
I3131883934,2020,424
I3131883934,2021,502
I3131883934,2022,488
I3131883934,2023,382
I3131883934,2024,385
I3131883934,2025,603
I3131883934,2026,166
I53279716,2006,7
I53279716,2007,9
I53279716,2008,6
I53279716,2009,9
I53279716,2010,6
I53279716,2011,16
I53279716,2012,14
I53279716,2013,28
I53279716,2014,23
I53279716,2015,24
I53279716,2016,34
I53279716,2017,27
I53279716,2018,17
