inst_id,year,n_citations
I2799873615,2022,1196
I2799873615,2023,853
I2799873615,2024,771
I2799873615,2025,307
I2799873615,2026,4
I4210121797,2006,0
I4210121797,2007,0
I4210121797,2008,0
I4210121797,2009,11
I4210121797,2010,0
I4210121797,2011,39
I4210121797,2012,15
I4210121797,2013,49
I4210121797,2014,22
I4210121797,2015,24
I4210121797,2016,271
I4210121797,2017,113
I4210121797,2018,85
I4210121797,2019,208
I4210121797,2020,329
I4210121797,2021,514
I4210121797,2022,294
I4210121797,2023,810
I4210121797,2024,135
I4210121797,2025,200
I4210121797,2026,32
I4405266581,2006,NA
I4405266581,2007,NA
I4405266581,2008,NA
I4405266581,2009,NA
I4405266581,2010,NA
I4405266581,2011,NA
I4405266581,2012,NA
I4405266581,2013,NA
I4405266581,2014,NA
I4405266581,2015,NA
I4405266581,2016,NA
I4405266581,2017,NA
I4405266581,2018,NA
I4405266581,2019,NA
I4405266581,2020,NA
I4405266581,2021,NA
I4405266581,2022,NA
I4405266581,2023,NA
I4405266581,2024,NA
I4405266581,2025,NA
I4405266581,2026,NA
I4210113241,2006,NA
I4210113241,2007,NA
I4210113241,2008,NA
I4210113241,2009,NA
I4210113241,2010,NA
I4210113241,2011,0
I4210113241,2012,NA
I4210113241,2013,0
I4210113241,2014,28
I4210113241,2015,NA
I4210113241,2016,NA
I4210113241,2017,NA
I4210113241,2018,4
I4210113241,2019,20
I4210113241,2020,NA
I4210113241,2021,NA
I4210113241,2022,10
I4210113241,2023,27
I4210113241,2024,37
I4210113241,2025,21
I4210113241,2026,0
I4405259820,2006,NA
I4405259820,2007,NA
I4405259820,2008,NA
I4405259820,2009,NA
I4405259820,2010,NA
I4405259820,2011,NA
I4405259820,2012,NA
I4405259820,2013,NA
I4405259820,2014,NA
I4405259820,2015,NA
I4405259820,2016,NA
I4405259820,2017,NA
I4405259820,2018,NA
I4405259820,2019,NA
I4405259820,2020,NA
I4405259820,2021,NA
I4405259820,2022,NA
I4405259820,2023,NA
I4405259820,2024,NA
I4405259820,2025,NA
I4405259820,2026,NA
I3132520537,2006,NA
I3132520537,2007,NA
I3132520537,2008,NA
I3132520537,2009,NA
I3132520537,2010,NA
I3132520537,2011,59
I3132520537,2012,NA
I3132520537,2013,172
I3132520537,2014,NA
I3132520537,2015,2
I3132520537,2016,16
I3132520537,2017,NA
I3132520537,2018,NA
I3132520537,2019,NA
I3132520537,2020,14
I3132520537,2021,NA
I3132520537,2022,NA
I3132520537,2023,44
I3132520537,2024,11
I3132520537,2025,2
I3132520537,2026,NA
I2803027104,2006,9
I2803027104,2007,83
I2803027104,2008,21
I2803027104,2009,166
I2803027104,2010,11
I2803027104,2011,8
I2803027104,2012,11
I2803027104,2013,141
I2803027104,2014,44
I2803027104,2015,198
I2803027104,2016,40
I2803027104,2017,121
I2803027104,2018,22
I2803027104,2019,130
I2803027104,2020,96
I2803027104,2021,116
I2803027104,2022,91
I2803027104,2023,39
I2803027104,2024,223
I2803027104,2025,39
I2803027104,2026,2
I2801972722,2006,NA
I2801972722,2007,6
I2801972722,2008,NA
I2801972722,2009,NA
I2801972722,2010,3
I2801972722,2011,0
I2801972722,2012,1
